address,lng,lat
"52 ROUTE 118, CANAAN, NH, 03741",-72.0076,43.64843
"11 DEERFIELD RD., CANDIA, NH, 03034",-71.28756,43.06277
"26 BAPTIST RD, CANTERBURY, NH, 03224",-71.56068,43.335785
"4901 OLD POST ROAD, CHARLESTOWN, RI, 02813",-71.65882,41.385147
"19 PARK STREET, CHELSEA, MA, 02150",-71.03996,42.38921
"84 CHESTER STREET, CHESTER, NH, 03036",-71.27087,42.964397
"85 GEORGE P HASSETT DRIVE, MEDFORD, MA, 02155",-71.10576,42.418602
"3850 MYSTIC VALLEY PARKWAY, MEDFORD, MA, 02155",-71.09511,42.405968
"325 WASHINGTON ST, PROVIDENCE, RI, 02903",-71.4203,41.81934
"533 ELMWOOD AVE, PROVIDENCE, RI, 02907",,
"35 GREEN STREET, CONCORD, NH, 03301",-71.53984,43.20619
"120 ASH ST, DANVERS, MA, 01923",-70.9419,42.556286
"600 HIGH STREET, DEDHAM, MA, 02026",-71.17405,42.24837
"1 MUNICIPAL DR., DERRY, NH, 03038",-71.328,42.892838
"110 LOON HILL ROAD, DRACUT, MA, 01826",-71.29072,42.672203
"18 ROBERT ROGERS ROAD, DUNBARTON, NH, 03046",-71.61208,43.10096
"153 CENTRAL STREET, EAST BRIDGEWATER, MA, 02333",-70.965546,42.034653
"750 WATERMAN AVE, EAST PROVIDENCE, RI, 02914",-71.35137,41.81343
"46 LOTHROP STREET, EASTON, MA, 02356",-71.10637,42.056774
"39 LOCKEHAVEN ROAD, ENFIELD, NH, 03748",-72.111305,43.62037
"484 BROADWAYEVERETT CITY HALL, EVERETT, MA, 02149",,
"45 ELM ST, EVERETT, MA, 02149",-71.0454,42.412548
"47 CENTRAL ST, GEORGETOWN, MA, 01833",-70.9924,42.722538
"326 MAST ROAD, GOFFSTOWN, NH, 03045",-71.540184,43.00974
"300 ROUTE 10 SOUTH, GRANTHAM, NH, 03753",,
"181 MAIN STREETSTATION LOBBY, GROVELAND, MA, 01834",,
"30 VETERANS WAY, HAMPSTEAD, NH, 03841",,
"775 MAIN ST., HANSON, MA, 02341",-70.86988,42.040264
