"3280","111 E. COURT STREET, METAMORA, IL, 61548","No_Match"
"3282","126 GROVE STREET, STANDISH, MI, 48658","Tie"
"2969","3305 GREENWICH ANGLING RD, GREENWICH, OH, 44837","Match","Exact","3305 GREENWICH ANGLING RD, GREENWICH, OH, 44837","-82.51788,41.048016","12629112","L"
"528","1231 MAINE ST, POLAND, ME, 04274","Match","Exact","1231 MAINE ST, POLAND, ME, 04274","-70.396576,44.063168","77980619","L"
"1836","815 NORTH JACKSON STREET, ATHENS, TN, 37303","Match","Exact","815 N JACKSON ST, ATHENS, TN, 37303","-84.59779,35.450565","88534325","R"
"2968","212 HARDING WAY EAST, GALION, OH, 44833","Match","Exact","212 HARDING WAY E, GALION, OH, 44833","-82.78744,40.733875","12076510","R"
"527","20 HIGHLAND ST., ASHLAND, NH, 03217","Match","Exact","20 HIGHLAND ST, ASHLAND, NH, 03217","-71.632805,43.696842","627817005","R"
"1837","6530 HORTON HWY, GREENEVILLE, TN, 37745","Match","Exact","6530 HORTON HWY, GREENEVILLE, TN, 37745","-82.83821,36.333344","127765167","R"
"2967","213 S. MAIN ST., FOSTORIA, OH, 44830","Tie"
"5330","37600 SE SNOQUALMIE PARKWAY, SNOQUALMIE, WA, 98065","Match","Exact","37600 SNOQUALMIE PKWY, SNOQUALMIE, WA, 98065","-121.83226,47.536625","617981141","L"
"3240","350 WALNUT AVE., NORTHFIELD, IL, 60093","Match","Exact","350 WALNUT AVE, NORTHFIELD, IL, 60093","-87.72658,42.100567","111738099","L"
"5333","3300 PROVIDENCE DRENTRANCE 4, ANCHORAGE, AK, 99508","Match","Non_Exact","3300 PROVIDENCE DR, ANCHORAGE, AK, 99508","-149.8176,61.18984","638504877","R"
"3241","8770 S HOWELL AVE, OAK CREEK, WI, 53154","Match","Exact","8770 S HOWELL AVE, OAK CREEK, WI, 53154","-87.91226,42.884842","77764845","L"
"571","35 MARKET SQUARE, SOUTH PARIS, ME, 04281","Match","Exact","35 MARKET SQ, SOUTH PARIS, ME, 04281","-70.51333,44.223583","618226335","L"
"2111","2900 UNIVESTIY PARKWAY, LAWRENCEVILLE, GA, 30043","No_Match"
"5334","7701 DEBARR ROAD, ANCHORAGE, AK, 99504","Match","Exact","7701 DEBARR RD, ANCHORAGE, AK, 99504","-149.73726,61.209732","190803237","L"
"3242","301W. LAFYETTE ST., OTTAWA, IL, 61350","Tie"
"570","701 MAIN ST, OXFORD, ME, 04270","Match","Exact","701 MAIN ST, OXFORD, ME, 04270","-70.48055,44.14688","618226296","R"
"2110","4040 S. BERKELEY LAKE ROAD, DULUTH, GA, 30096","Tie"
"5331","7506 KENDALL ROAD, MAPLE FALLS, WA, 98266","Match","Exact","7506 KENDALL RD, MAPLE FALLS, WA, 98266","-122.140686,48.917126","183802498","L"
"3243","595 N. HICKS RD., PALATINE, IL, 60067","Match","Non_Exact","595 N HICKS RD, PALATINE, IL, 60067","-88.03389,42.121395","636559380","R"
"5332","1105 MAIN STREET, OROVILLE, WA, 98844","Match","Exact","1105 MAIN ST, OROVILLE, WA, 98844","-119.436905,48.935223","157331172","R"
"3244","3600 KIRCHOFF RD., ROLLING MEADOWS, IL, 60008","Match","Exact","3600 KIRCHOFF RD, ROLLING MEADOWS, IL, 60008","-88.02539,42.08017","111698076","R"
"2109","2985 RONALD REAGAN BLVD, CUMMING, GA, 30041","No_Match"
"5327","10049 COLLEGE WAY NORTH, SEATTLE, WA, 98133","Match","Exact","10049 COLLEGE WAY N, SEATTLE, WA, 98133","-122.33463,47.702312","187072554","L"
"3235","142 E. PRAIRIE STREET, MARENGO, IL, 60152","Match","Exact","142 E PRAIRIE ST, MARENGO, IL, 60152","-88.60765,42.25001","119841457","L"
"574","1187 MAIN STREETSUITE 1, SAINT JOHNSBURY, VT, 05819","Match","Non_Exact","1187 MAIN ST, ST JOHNSBURY, VT, 05819","-72.02097,44.41892","181066991","L"
