Participant,CollectionSite,Address,City,State,Zip,MapURL
JONES COUNTY SHERIFF'S OFFICE,JONES COUNTY SHERIFF'S OFFICE,123 HOLMES HAWKINS DRIVE,GRAY,GA,31032,"http://maps.google.com/maps?q=123 HOLMES HAWKINS DRIVE,+GRAY,+GA+31032&hl=en"
JONESBORO POLICE DEPARTMENT,JONESBORO POLCE DEPARTMENT,170 S. MAIN STREET,JONESBORO,GA,30236,"http://maps.google.com/maps?q=170 S. MAIN STREET,+JONESBORO,+GA+30236&hl=en"
KENNESAW POLICE DEPARTMENT,CVS PHARMACY,2782 COBB PKWY.,KENNESAW,GA,30144,"http://maps.google.com/maps?q=2782 COBB PKWY.,+KENNESAW,+GA+30144&hl=en"
KINGSTON POLICE DEPT.,FOOD CITY,1000 LADD LANDING BLVD.,KINGSTON,TN,37763,"http://maps.google.com/maps?q=1000 LADD LANDING BLVD.,+KINGSTON,+TN+37763&hl=en"
LAVERGNE POLICE DEPARTMENT,KROGER,5145 MURFREESBORO RD,LA VERGNE,TN,37086,"http://maps.google.com/maps?q=5145 MURFREESBORO RD,+LA VERGNE,+TN+37086&hl=en"
LAWRENCE CO. SHERIFF'S DEPT.,WLX COUNTRY CAFE,1212 N. LOCUST AVE,LAWRENCEBURG,TN,38464,"http://maps.google.com/maps?q=1212 N. LOCUST AVE,+LAWRENCEBURG,+TN+38464&hl=en"
LEE COUNTY SHERIFF'S OFFICE,SMITHS STATION GOVERNMENT CENTER,2336 LEE RD 430,SMITHS STATION,AL,36877,"http://maps.google.com/maps?q=2336 LEE RD 430,+SMITHS STATION,+AL+36877&hl=en"
LINCOLN CO. SHERIFF'S DEPT,LINCOLN COUNTY HIGH SCHOOL,1233 HUNTSVILLE HWY,FAYETTEVILLE,TN,37334,"http://maps.google.com/maps?q=1233 HUNTSVILLE HWY,+FAYETTEVILLE,+TN+37334&hl=en"
LOGANVILLE POLICE DEPARTMENT,KROGER,4753 ATLANTA HIGHWAY,LOGANVILLE,GA,30052,"http://maps.google.com/maps?q=4753 ATLANTA HIGHWAY,+LOGANVILLE,+GA+30052&hl=en"
LORETTO POLICE DEPT.,LORETTO CITY HALL,415 NORTH MILITARY STRREET,LORETTO,TN,38469,"http://maps.google.com/maps?q=415 NORTH MILITARY STRREET,+LORETTO,+TN+38469&hl=en"
MADISONVILLE POLICE DEPT.,MADISONVILLE POLICE DEPARTMENT,315 ENGLEWOOD RD.,MADISONVILLE,TN,37354,"http://maps.google.com/maps?q=315 ENGLEWOOD RD.,+MADISONVILLE,+TN+37354&hl=en"
MANCHESTER POLICE DEPARTMENT,MANCHESTER POLICE DEPARTMENT DRUG TAKE BACK DROP BOX,200 WEST FORT STREET,MANCHESTER,TN,37355,"http://maps.google.com/maps?q=200 WEST FORT STREET,+MANCHESTER,+TN+37355&hl=en"
MARSHALL COUNTY SHERIFF'S OFFICE,MARSHALL COUNTY SHERIFF'S OFFICE,209 1ST AVE N.,LEWISBURG,TN,37091,"http://maps.google.com/maps?q=209 1ST AVE N.,+LEWISBURG,+TN+37091&hl=en"
MCMINN COUNTY SHERIFF OFFICE,CVS,928 DECATUR PIKE,ATHENS,TN,37303,"http://maps.google.com/maps?q=928 DECATUR PIKE,+ATHENS,+TN+37303&hl=en"
MCMINNVILLE POLICE DEPT.,MCMINNVILLE POLICE DEPARTMENT,204 RED ROAD,MCMINNVILLE,TN,37110,"http://maps.google.com/maps?q=204 RED ROAD,+MCMINNVILLE,+TN+37110&hl=en"
MERCER UNIVERSITY POLICE DEPARTMENT,MERCER UNIVERSITY NORTH PARKING LOT,3001 MERCER UNIVERSITY DRIVE,ATLANTA,GA,30341,"http://maps.google.com/maps?q=3001 MERCER UNIVERSITY DRIVE,+ATLANTA,+GA+30341&hl=en"
METRO NASHVILLE POLICE DEPARTMENT,KROGER,5544 OLD HICKORY BLVD.,HERMITAGE,TN,37076,"http://maps.google.com/maps?q=5544 OLD HICKORY BLVD.,+HERMITAGE,+TN+37076&hl=en"
METRO NASHVILLE POLICE DEPARTMENT,KROGER,6690 NOLENSVILLE RD.,BRENTWOOD,TN,37027,"http://maps.google.com/maps?q=6690 NOLENSVILLE RD.,+BRENTWOOD,+TN+37027&hl=en"
MIDDLE TN STATE UNIVERSITY POLICE DEPARTMENT,"MTSU HEALTH SERVICES OCTOBER 25, 2018",1848 BLUE RAIDER DRIVE,MURFREESBORO,TN,37132,"http://maps.google.com/maps?q=1848 BLUE RAIDER DRIVE,+MURFREESBORO,+TN+37132&hl=en"
MILLBROOK POLICE DEPARTMENT,JONES DRUG,4117 HWY 14,MILLBROOK,AL,36054,"http://maps.google.com/maps?q=4117 HWY 14,+MILLBROOK,+AL+36054&hl=en"
MILTON POLICE DEPARTMENT,TARGET,13055 HIGHWAY 9,ALPHARETTA,GA,30004,"http://maps.google.com/maps?q=13055 HIGHWAY 9,+ALPHARETTA,+GA+30004&hl=en"
MOBILE COUNTY SHERIFF'S OFFICE,COSTCO,1450 TINGLE CIRCLE EAST,MOBILE,AL,36606,"http://maps.google.com/maps?q=1450 TINGLE CIRCLE EAST,+MOBILE,+AL+36606&hl=en"
MOBILE COUNTY SHERIFF'S OFFICE,CVS PHARMACY #1814,3932 COTTAGE HILL ROAD,MOBILE,AL,36695,"http://maps.google.com/maps?q=3932 COTTAGE HILL ROAD,+MOBILE,+AL+36695&hl=en"
MOBILE COUNTY SHERIFF'S OFFICE,CVS PHARMACY #4818,4881 SCHILLINGER ROAD,MOBILE,AL,36619,"http://maps.google.com/maps?q=4881 SCHILLINGER ROAD,+MOBILE,+AL+36619&hl=en"
MOBILE COUNTY SHERIFF'S OFFICE,CVS PHARMACY #4888,44523 OLD SHELL ROAD,MOBILE,AL,36608,"http://maps.google.com/maps?q=44523 OLD SHELL ROAD,+MOBILE,+AL+36608&hl=en"
MOBILE COUNTY SHERIFF'S OFFICE,CVS PHARMACY #4900,2550 DAUPHIN STREET,MOBILE,AL,36606,"http://maps.google.com/maps?q=2550 DAUPHIN STREET,+MOBILE,+AL+36606&hl=en"
MOBILE COUNTY SHERIFF'S OFFICE,CVS PHARMACY #7671,1401 HILLCREST ROAD,MOBILE,AL,36695,"http://maps.google.com/maps?q=1401 HILLCREST ROAD,+MOBILE,+AL+36695&hl=en"
MOBILE COUNTY SHERIFF'S OFFICE,MOBILE COUNTY SHERIFF SOUTH SIDE OFFICE,510 SOUTH ROYAL,MOBILE,AL,36695,"http://maps.google.com/maps?q=510 SOUTH ROYAL,+MOBILE,+AL+36695&hl=en"
MOBILE COUNTY SHERIFF'S OFFICE,WALGREENS PHARMACY #01777,3948 AIRPORT BOULEVARD,MOBILE,AL,36608,"http://maps.google.com/maps?q=3948 AIRPORT BOULEVARD,+MOBILE,+AL+36608&hl=en"
MOBILE COUNTY SHERIFF'S OFFICE,WALGREENS PHARMACY #10851,6396 AIRPORT BLVD,MOBILE,AL,36608,"http://maps.google.com/maps?q=6396 AIRPORT BLVD,+MOBILE,+AL+36608&hl=en"
