name,CollectionSite,Address 1,City,state,postal,googleMapsUrl,address,source,source_date
ARDSLEY SAYF COALITION,ARDSLEY VILLAGE HALL,507 ASHFORD HALL,ARDSLEY,NY,10502,"http://maps.google.com/maps?q=507 ASHFORD HALL,+ARDSLEY,+NY+10502&hl=en","507 ASHFORD HALL, ARDSLEY, NY 10502",DEA,NTBD_2018_OCT
ARLINGTON POLICE DEPARTMENT,ARLINGTON POLICE DEPARTMENT,112 MYSTIC STREET,ARLINGTON,MA,2474,"http://maps.google.com/maps?q=112 MYSTIC STREET,+ARLINGTON,+MA+02474&hl=en","112 MYSTIC STREET, ARLINGTON, MA 02474",DEA,NTBD_2018_OCT
ASHBY POLICE DEPARTMENT,ASHBY POLICE DEPARTMENT,893 MAIN ST.,ASHBY,MA,1431,"http://maps.google.com/maps?q=893 MAIN ST.,+ASHBY,+MA+01431&hl=en","893 MAIN ST., ASHBY, MA 01431",DEA,NTBD_2018_OCT
ASHLAND POLICE DEPARTMENT,ASHLAND POLICE DEPARTMENT LT. DAVID BEAUDOIN,137 MAIN STREET,ASHLAND,MA,1721,"http://maps.google.com/maps?q=137 MAIN STREET,+ASHLAND,+MA+01721&hl=en","137 MAIN STREET, ASHLAND, MA 01721",DEA,NTBD_2018_OCT
AYER POLICE DEPARTMENT,WESTFORD POLICE DEPARTMENT,53 MAIN STREET,WESTFORD,MA,1886,"http://maps.google.com/maps?q=53 MAIN STREET,+WESTFORD,+MA+01886&hl=en","53 MAIN STREET, WESTFORD, MA 01886",DEA,NTBD_2018_OCT
BEDFORD POLICE DEPARTMENT,BEDFORD POLICE DEPARTMENT JAMES GRAHAM,2 MUDGE WAYPOLICE DEPARTMENT,BEDFORD,MA,1730,"http://maps.google.com/maps?q=2 MUDGE WAY,+BEDFORD,+MA+01730&hl=en","2 MUDGE WAYPOLICE DEPARTMENT, BEDFORD, MA 01730",DEA,NTBD_2018_OCT
BELCHERTOWN POLICE DEPARTMENT,BELCHERTOWN POLICE DEPARTMENT,PARK STREETTOWN COMMON,BELCHERTOWN,MA,1007,"http://maps.google.com/maps?q=PARK STREET,+BELCHERTOWN,+MA+01007&hl=en","PARK STREETTOWN COMMON, BELCHERTOWN, MA 01007",DEA,NTBD_2018_OCT
BELLINGHAM POLICE DEPARTMENT,BELLINGHAM POLICE DEPARTMENT,30 BLACKSTONE STREET,BELLINGHAM,MA,2019,"http://maps.google.com/maps?q=30 BLACKSTONE STREET,+BELLINGHAM,+MA+02019&hl=en","30 BLACKSTONE STREET, BELLINGHAM, MA 02019",DEA,NTBD_2018_OCT
BELMONT POLICE DEPARTMENT,BELMONT DEPARTMENT OF PUBLIC WORKS,37 C STREET,BELMONT,MA,2478,"http://maps.google.com/maps?q=37 C STREET,+BELMONT,+MA+02478&hl=en","37 C STREET, BELMONT, MA 02478",DEA,NTBD_2018_OCT
BENNINGTON POLICE DEPARTMENT,BENNINGTON COUNTY SHERIFF'S DEPT FRONT LOBBY,811 US ROUTE 7 SOUTH,BENNINGTON,VT,5201,"http://maps.google.com/maps?q=811 US ROUTE 7 SOUTH,+BENNINGTON,+VT+05201&hl=en","811 US ROUTE 7 SOUTH, BENNINGTON, VT 05201",DEA,NTBD_2018_OCT
BENNINGTON POLICE DEPARTMENT,BENNINGTON POLICE DEPARTMENT FRONT LOBBY,118 SOUTH STREET,BENNINGTON,VT,5201,"http://maps.google.com/maps?q=118 SOUTH STREET,+BENNINGTON,+VT+05201&hl=en","118 SOUTH STREET, BENNINGTON, VT 05201",DEA,NTBD_2018_OCT
BENNINGTON POLICE DEPARTMENT,MANCHESTER POLICE DEPARTMENT FRONT LOBBY,6041 MAIN STREET,MANCHESTER CENTER,VT,5255,"http://maps.google.com/maps?q=6041 MAIN STREET,+MANCHESTER CENTER,+VT+05255&hl=en","6041 MAIN STREET, MANCHESTER CENTER, VT 05255",DEA,NTBD_2018_OCT
